id,alternateNames
geoId/3651000,"New York City,NYC"
country/USA,"America,usa,us"
wikidataId/Q174,"Sao Paulo"
country/AFG,afg
country/AIA,aia
country/ARE,uae
country/AUS,aus
country/AUT,aut
country/BFA,bfa
country/BGD,bgd
country/BGR,bgr
country/BHR,bhr
country/BHS,bhs
country/BIH,bih
country/BLM,blm
country/BLR,blr
country/BLZ,blz
country/BRN,brn
country/BWA,bwa
country/CAF,caf
country/CHE,che
country/CHL,chl
country/CHN,"chn,cn"
country/CMR,cmr
country/CSK,csk
country/CYM,cym
country/CYP,cyp
country/CZE,"cze,cz,czechia"
country/DEU,deu
country/DJI,dji
country/DMA,dma
country/DNK,dnk
country/DZA,dza
country/EGY,egy
country/ERI,eri
country/ESH,esh
country/FJI,"fji,fj"
country/FLK,flk
country/FRA,"fra,fr"
country/GBR,"gbr,uk"
country/GHA,"gha,gh"
country/GIN,gn
country/GLP,glp
country/GMB,gmb
country/GNB,gnb
country/GNQ,gnq
country/GRC,grc
country/GRL,grl
country/GTM,gtm
country/GUF,guf
country/GUY,gy
country/HKG,"hk,hkg"
country/HND,hnd
country/IDN,idn
country/IND,ind
country/IRL,irl
country/IRN,irn
country/IRQ,irq
country/ISL,isl
country/ISR,isr
country/ITA,ita
country/JAM,jm
country/JPN,"jpn,jp"
country/KAZ,"kaz,kz"
country/KEN,ken
country/KGZ,kgz
country/KHM,khm
country/KNA,kna
country/KOR,"kor,kr,republic of korea,rok,korean republic"
country/KWT,"kwt,kw"
country/LAO,lao
country/LBN,lbn
country/LBR,lbr
country/LBY,lby
country/LCA,lca
country/LKA,"lka,lk"
country/LSO,lso
country/LTU,ltu
country/LVA,lva
country/MCO,mco
country/MDA,mda
country/MDG,mdg
country/MDV,mdv
country/MEX,"mex,mx"
country/MHL,mhl
country/MKD,mkd
country/MLI,mli
country/MLT,mlt
country/MNG,mng
country/MNP,mnp
country/MOZ,"moz,mz"
country/MRT,mrt
country/MTQ,mtq
country/MUS,mus
country/MWI,"mwi,mw"
country/MYS,mys
country/MYT,myt
country/NCL,ncl
country/NER,ner
country/NFK,nfk
country/NGA,nga
country/NIU,niu
country/NLD,nld
country/NPL,npl
country/NRU,nru
country/NZL,nzl
country/PAK,pak
country/PCN,pcn
country/PHL,phl
country/PLW,plw
country/PRI,pri
country/PRK,"prk,dprk,democratic people's republic of korea,democratic peoples republic of korea"
country/PRT,prt
country/PSE,pse
country/PYF,pyf
country/RWA,rwa
country/SAU,sau
country/SCG,scg
country/SDN,sdn
country/SGP,sgp
country/SGS,sgs
country/SHN,shn
country/SRB,srb
country/SVK,svk
country/SVN,svn
country/SXM,sxm
country/SYC,syc
country/SYR,syr
country/TCD,tcd
country/TGO,tgo
country/THA,tha
country/TJK,tjk
country/TKL,tkl
country/TKM,tkm
country/TON,tga
country/TTO,tto
country/TUN,tun
country/TUR,tun
country/TUV,tuv
country/TWN,twn
country/TZA,tza
country/UGA,uga
country/UKR,ukr
country/URY,ury
country/UZB,uzb
country/VCT,vct
country/VGB,vgb
country/VNM,vnm
country/VUT,vut
country/WLF,wlf
country/WSM,wsm
country/XKS,xks
country/ZAF,zaf
country/ZMB,zmb
country/ZWE,"zwe,zw"
geoId/01001,Autauga
geoId/01005,Barbour
geoId/01007,Bibb
geoId/01009,Blount
geoId/01017,Chambers
geoId/01019,Cherokee
geoId/01021,Chilton
geoId/01025,Clarke
geoId/01029,Cleburne
geoId/01033,Colbert
geoId/01035,Conecuh
geoId/01037,Coosa
geoId/01039,Covington
geoId/01041,Crenshaw
geoId/01045,Dale
geoId/01047,Dallas
geoId/01051,Elmore
geoId/01053,Escambia
geoId/01055,Etowah
geoId/01057,Fayette
geoId/01059,Franklin
geoId/01063,Greene
geoId/01065,Hale
geoId/01067,Henry
geoId/01069,Houston
geoId/01071,Jackson
geoId/01075,Lamar
geoId/01077,Lauderdale
geoId/01079,Lawrence
geoId/01085,Lowndes
geoId/01087,Macon
geoId/01091,Marengo
geoId/01093,Marion
geoId/01099,Monroe
geoId/01103,Morgan
geoId/01105,Perry
geoId/01107,Pickens
geoId/01109,Pike
geoId/01111,Randolph
geoId/01113,Russell
geoId/01115,St. Clair
geoId/01119,Sumter
geoId/01123,Tallapoosa
geoId/01129,Washington
geoId/01131,Wilcox
geoId/01133,Winston
geoId/04001,Apache
geoId/04003,Cochise
geoId/04005,Coconino
geoId/04007,Gila
geoId/04011,Greenlee
geoId/04012,La Paz
geoId/04015,Mohave
geoId/04017,Navajo
geoId/04019,Pima
geoId/04021,Pinal
geoId/04023,Santa Cruz
geoId/04025,Yavapai
geoId/05001,Arkansas
geoId/05003,Ashley
geoId/05005,Baxter
geoId/05011,Bradley
geoId/05013,Calhoun
geoId/05017,Chicot
geoId/05023,Cleburne
geoId/05025,Cleveland
geoId/05027,Columbia
geoId/05029,Conway
geoId/05031,Craighead
geoId/05033,Crawford
geoId/05035,Crittenden
geoId/05037,Cross
geoId/05039,Dallas
geoId/05041,Desha
geoId/05043,Drew
geoId/05045,Faulkner
geoId/05047,Franklin
geoId/05049,Fulton
geoId/05051,Garland
geoId/05053,Grant
geoId/05055,Greene
geoId/05057,Hempstead
geoId/05059,Hot Spring
geoId/05061,Howard
geoId/05065,Izard
geoId/05067,Jackson
geoId/05071,Johnson
geoId/05073,Lafayette
geoId/05075,Lawrence
geoId/05079,Lincoln
geoId/05081,Little River
geoId/05083,Logan
geoId/05085,Lonoke
geoId/05087,Madison
geoId/05091,Miller
geoId/05093,Mississippi
geoId/05095,Monroe
geoId/05097,Montgomery
geoId/05099,Nevada
geoId/05101,Newton
geoId/05103,Ouachita
geoId/05105,Perry
geoId/05107,Phillips
geoId/05109,Pike
geoId/05111,Poinsett
geoId/05113,Polk
geoId/05115,Pope
geoId/05117,Prairie
geoId/05119,Pulaski
geoId/05121,Randolph
geoId/05123,St. Francis
geoId/05127,Scott
geoId/05129,Searcy
geoId/05133,Sevier
geoId/05141,Van Buren
geoId/05143,Washington
geoId/05147,Woodruff
geoId/05149,Yell
geoId/06003,Alpine
geoId/06005,Amador
geoId/06009,Calaveras
geoId/06011,Colusa
geoId/06013,Contra Costa
geoId/06015,Del Norte
geoId/06021,Glenn
geoId/06023,Humboldt
geoId/06027,Inyo
geoId/06029,Kern
geoId/06035,Lassen
geoId/06041,Marin
geoId/06043,Mariposa
geoId/06045,Mendocino
geoId/06049,Modoc
geoId/06051,Mono
geoId/06057,Nevada
geoId/06061,Placer
geoId/06063,Plumas
geoId/06077,San Joaquin
geoId/06089,Shasta
geoId/06091,Sierra
geoId/06093,Siskiyou
geoId/06095,Solano
geoId/06099,Stanislaus
geoId/06101,Sutter
geoId/06103,Tehama
geoId/06105,Trinity
geoId/06109,Tuolumne
geoId/06113,Yolo
geoId/06115,Yuba
geoId/08001,Adams
geoId/08003,Alamosa
geoId/08005,Arapahoe
geoId/08007,Archuleta
geoId/08009,Baca
geoId/08015,Chaffee
geoId/08017,Cheyenne
geoId/08019,Clear Creek
geoId/08021,Conejos
geoId/08023,Costilla
geoId/08025,Crowley
geoId/08027,Custer
geoId/08029,Delta
geoId/08033,Dolores
geoId/08039,Elbert
geoId/08043,Fremont
geoId/08047,Gilpin
geoId/08051,Gunnison
geoId/08053,Hinsdale
geoId/08055,Huerfano
geoId/08057,Jackson
geoId/08061,Kiowa
geoId/08063,Kit Carson
geoId/08069,Larimer
geoId/08071,Las Animas
geoId/08073,Lincoln
geoId/08075,Logan
geoId/08077,Mesa
geoId/08081,Moffat
geoId/08083,Montezuma
geoId/08087,Morgan
geoId/08089,Otero
geoId/08091,Ouray
geoId/08095,Phillips
geoId/08097,Pitkin
geoId/08099,Prowers
geoId/08103,Rio Blanco
geoId/08105,Rio Grande
geoId/08107,Routt
geoId/08109,Saguache
geoId/08111,San Juan
geoId/08113,San Miguel
geoId/08115,Sedgwick
geoId/08119,Teller
geoId/08121,Washington
geoId/08123,Weld
geoId/08125,Yuma
geoId/09005,Litchfield
geoId/12007,Bradford
geoId/12009,Brevard
geoId/12011,Broward
geoId/12013,Calhoun
geoId/12015,Charlotte
geoId/12021,Collier
geoId/12023,Columbia
geoId/12027,DeSoto
geoId/12029,Dixie
geoId/12031,Duval
geoId/12033,Escambia
geoId/12035,Flagler
geoId/12037,Franklin
geoId/12041,Gilchrist
geoId/12043,Glades
geoId/12047,Hamilton
geoId/12049,Hardee
geoId/12051,Hendry
geoId/12059,Holmes
geoId/12061,Indian River
geoId/12063,Jackson
geoId/12065,Jefferson
geoId/12067,Lafayette
geoId/12073,Leon
geoId/12075,Levy
geoId/12077,Liberty
geoId/12079,Madison
geoId/12081,Manatee
geoId/12086,Miami-Dade
geoId/12089,Nassau
geoId/12091,Okaloosa
geoId/12093,Okeechobee
geoId/12097,Osceola
geoId/12099,Palm Beach
geoId/12103,Pinellas
geoId/12105,Polk
geoId/12107,Putnam
geoId/12109,St. Johns
geoId/12111,St. Lucie
geoId/12121,Suwannee
geoId/12123,Taylor
geoId/12125,Union
geoId/12127,Volusia
geoId/12129,Wakulla
geoId/12131,Walton
geoId/12133,Washington
geoId/13001,Appling
geoId/13003,Atkinson
geoId/13005,Bacon
geoId/13011,Banks
geoId/13013,Barrow
geoId/13017,Ben Hill
geoId/13019,Berrien
geoId/13021,Bibb
geoId/13023,Bleckley
geoId/13025,Brantley
geoId/13027,Brooks
geoId/13029,Bryan
geoId/13031,Bulloch
geoId/13033,Burke
geoId/13035,Butts
geoId/13037,Calhoun
geoId/13039,Camden
geoId/13043,Candler
geoId/13047,Catoosa
geoId/13049,Charlton
geoId/13053,Chattahoochee
geoId/13055,Chattooga
geoId/13057,Cherokee
geoId/13059,Clarke
geoId/13065,Clinch
geoId/13067,Cobb
geoId/13071,Colquitt
geoId/13079,Crawford
geoId/13081,Crisp
geoId/13083,Dade
geoId/13085,Dawson
geoId/13091,Dodge
geoId/13093,Dooly
geoId/13095,Dougherty
geoId/13099,Early
geoId/13101,Echols
geoId/13105,Elbert
geoId/13107,Emanuel
geoId/13109,Evans
geoId/13111,Fannin
geoId/13113,Fayette
geoId/13115,Floyd
geoId/13117,Forsyth
geoId/13119,Franklin
geoId/13123,Gilmer
geoId/13125,Glascock
geoId/13127,Glynn
geoId/13129,Gordon
geoId/13131,Grady
geoId/13133,Greene
geoId/13135,Gwinnett
geoId/13137,Habersham
geoId/13141,Hancock
geoId/13143,Haralson
geoId/13145,Harris
geoId/13147,Hart
geoId/13149,Heard
geoId/13151,Henry
geoId/13153,Houston
geoId/13155,Irwin
geoId/13157,Jackson
geoId/13159,Jasper
geoId/13161,Jeff Davis
geoId/13165,Jenkins
geoId/13167,Johnson
geoId/13169,Jones
geoId/13171,Lamar
geoId/13173,Lanier
geoId/13175,Laurens
geoId/13181,Lincoln
geoId/13185,Lowndes
geoId/13187,Lumpkin
geoId/13189,McDuffie
geoId/13191,McIntosh
geoId/13193,Macon
geoId/13195,Madison
geoId/13197,Marion
geoId/13199,Meriwether
geoId/13201,Miller
geoId/13209,Montgomery
geoId/13211,Morgan
geoId/13213,Murray
geoId/13215,Muscogee
geoId/13219,Oconee
geoId/13221,Oglethorpe
geoId/13223,Paulding
geoId/13225,Peach
geoId/13227,Pickens
geoId/13229,Pierce
geoId/13231,Pike
geoId/13233,Polk
geoId/13235,Pulaski
geoId/13237,Putnam
geoId/13239,Quitman
geoId/13241,Rabun
geoId/13243,Randolph
geoId/13245,Richmond
geoId/13247,Rockdale
geoId/13249,Schley
geoId/13251,Screven
geoId/13253,Seminole
geoId/13255,Spalding
geoId/13257,Stephens
geoId/13259,Stewart
geoId/13261,Sumter
geoId/13263,Talbot
geoId/13265,Taliaferro
geoId/13267,Tattnall
geoId/13269,Taylor
geoId/13271,Telfair
geoId/13273,Terrell
geoId/13275,Thomas
geoId/13277,Tift
geoId/13279,Toombs
geoId/13281,Towns
geoId/13283,Treutlen
geoId/13285,Troup
geoId/13287,Turner
geoId/13289,Twiggs
geoId/13291,Union
geoId/13293,Upson
geoId/13297,Walton
geoId/13299,Ware
geoId/13301,Warren
geoId/13303,Washington
geoId/13305,Wayne
geoId/13307,Webster
geoId/13309,Wheeler
geoId/13313,Whitfield
geoId/13315,Wilcox
geoId/13317,Wilkes
geoId/13319,Wilkinson
geoId/15001,Hawaii
geoId/15005,Kalawao
geoId/15007,Kauai
geoId/15009,Maui
geoId/16003,Adams
geoId/16005,Bannock
geoId/16007,Bear Lake
geoId/16009,Benewah
geoId/16011,Bingham
geoId/16013,Blaine
geoId/16015,Boise
geoId/16017,Bonner
geoId/16019,Bonneville
geoId/16021,Boundary
geoId/16023,Butte
geoId/16025,Camas
geoId/16029,Caribou
geoId/16031,Cassia
geoId/16033,Clark
geoId/16035,Clearwater
geoId/16037,Custer
geoId/16039,Elmore
geoId/16041,Franklin
geoId/16043,Fremont
geoId/16045,Gem
geoId/16047,Gooding
geoId/16049,Idaho
geoId/16055,Kootenai
geoId/16057,Latah
geoId/16059,Lemhi
geoId/16061,Lewis
geoId/16063,Lincoln
geoId/16065,Madison
geoId/16067,Minidoka
geoId/16069,Nez Perce
geoId/16071,Oneida
geoId/16073,Owyhee
geoId/16075,Payette
geoId/16077,Power
geoId/16079,Shoshone
geoId/16081,Teton
geoId/16087,Washington
geoId/17001,Adams
geoId/17003,Alexander
geoId/17005,Bond
geoId/17011,Bureau
geoId/17013,Calhoun
geoId/17017,Cass
geoId/17021,Christian
geoId/17023,Clark
geoId/17027,Clinton
geoId/17029,Coles
geoId/17033,Crawford
geoId/17035,Cumberland
geoId/17039,De Witt
geoId/17043,DuPage
geoId/17045,Edgar
geoId/17047,Edwards
geoId/17051,Fayette
geoId/17053,Ford
geoId/17055,Franklin
geoId/17059,Gallatin
geoId/17061,Greene
geoId/17063,Grundy
geoId/17065,Hamilton
geoId/17067,Hancock
geoId/17069,Hardin
geoId/17071,Henderson
geoId/17073,Henry
geoId/17075,Iroquois
geoId/17077,Jackson
geoId/17079,Jasper
geoId/17083,Jersey
geoId/17085,Jo Daviess
geoId/17087,Johnson
geoId/17089,Kane
geoId/17095,Knox
geoId/17099,LaSalle
geoId/17101,Lawrence
geoId/17107,Logan
geoId/17109,McDonough
geoId/17117,Macoupin
geoId/17119,Madison
geoId/17123,Marshall
geoId/17125,Mason
geoId/17127,Massac
geoId/17129,Menard
geoId/17131,Mercer
geoId/17133,Monroe
geoId/17137,Morgan
geoId/17139,Moultrie
geoId/17141,Ogle
geoId/17145,Perry
geoId/17147,Piatt
geoId/17149,Pike
geoId/17151,Pope
geoId/17153,Pulaski
geoId/17155,Putnam
geoId/17157,Randolph
geoId/17159,Richland
geoId/17163,St. Clair
geoId/17167,Sangamon
geoId/17169,Schuyler
geoId/17171,Scott
geoId/17173,Shelby
geoId/17175,Stark
geoId/17177,Stephenson
geoId/17179,Tazewell
geoId/17181,Union
geoId/17187,Warren
geoId/17189,Washington
geoId/17191,Wayne
geoId/17195,Whiteside
geoId/17199,Williamson
geoId/17201,Winnebago
geoId/17203,Woodford
geoId/18001,Adams
geoId/18005,Bartholomew
geoId/18007,Benton
geoId/18009,Blackford
geoId/18017,Cass
geoId/18023,Clinton
geoId/18025,Crawford
geoId/18027,Daviess
geoId/18029,Dearborn
geoId/18031,Decatur
geoId/18035,Delaware
geoId/18037,Dubois
geoId/18041,Fayette
geoId/18043,Floyd
geoId/18045,Fountain
geoId/18047,Franklin
geoId/18051,Gibson
geoId/18053,Grant
geoId/18055,Greene
geoId/18059,Hancock
geoId/18063,Hendricks
geoId/18065,Henry
geoId/18071,Jackson
geoId/18075,Jay
geoId/18081,Johnson
geoId/18083,Knox
geoId/18085,Kosciusko
geoId/18091,LaPorte
geoId/18093,Lawrence
geoId/18101,Martin
geoId/18103,Miami
geoId/18107,Montgomery
geoId/18109,Morgan
geoId/18111,Newton
geoId/18113,Noble
geoId/18115,Ohio
geoId/18119,Owen
geoId/18121,Parke
geoId/18123,Perry
geoId/18125,Pike
geoId/18127,Porter
geoId/18129,Posey
geoId/18131,Pulaski
geoId/18133,Putnam
geoId/18135,Randolph
geoId/18137,Ripley
geoId/18139,Rush
geoId/18143,Scott
geoId/18149,Starke
geoId/18151,Steuben
geoId/18155,Switzerland
geoId/18157,Tippecanoe
geoId/18159,Tipton
geoId/18161,Union
geoId/18163,Vanderburgh
geoId/18167,Vigo
geoId/18171,Warren
geoId/18173,Warrick
geoId/18179,Wells
geoId/18183,Whitley
geoId/19001,Adair
geoId/19003,Adams
geoId/19005,Allamakee
geoId/19007,Appanoose
geoId/19009,Audubon
geoId/19011,Benton
geoId/19013,Black Hawk
geoId/19017,Bremer
geoId/19019,Buchanan
geoId/19021,Buena Vista
geoId/19025,Calhoun
geoId/19029,Cass
geoId/19031,Cedar
geoId/19033,Cerro Gordo
geoId/19035,Cherokee
geoId/19037,Chickasaw
geoId/19039,Clarke
geoId/19043,Clayton
geoId/19047,Crawford
geoId/19049,Dallas
geoId/19051,Davis
geoId/19053,Decatur
geoId/19055,Delaware
geoId/19057,Des Moines
geoId/19059,Dickinson
geoId/19063,Emmet
geoId/19065,Fayette
geoId/19067,Floyd
geoId/19069,Franklin
geoId/19071,Fremont
geoId/19073,Greene
geoId/19075,Grundy
geoId/19077,Guthrie
geoId/19079,Hamilton
geoId/19081,Hancock
geoId/19083,Hardin
geoId/19085,Harrison
geoId/19087,Henry
geoId/19089,Howard
geoId/19091,Humboldt
geoId/19093,Ida
geoId/19095,Iowa
geoId/19097,Jackson
geoId/19103,Johnson
geoId/19105,Jones
geoId/19107,Keokuk
geoId/19109,Kossuth
geoId/19113,Linn
geoId/19115,Louisa
geoId/19117,Lucas
geoId/19119,Lyon
geoId/19121,Madison
geoId/19123,Mahaska
geoId/19125,Marion
geoId/19129,Mills
geoId/19131,Mitchell
geoId/19133,Monona
geoId/19135,Monroe
geoId/19137,Montgomery
geoId/19141,O'Brien
geoId/19143,Osceola
geoId/19147,Palo Alto
geoId/19149,Plymouth
geoId/19151,Pocahontas
geoId/19153,Polk
geoId/19155,Pottawattamie
geoId/19157,Poweshiek
geoId/19159,Ringgold
geoId/19161,Sac
geoId/19163,Scott
geoId/19165,Shelby
geoId/19167,Sioux
geoId/19171,Tama
geoId/19173,Taylor
geoId/19175,Union
geoId/19177,Van Buren
geoId/19179,Wapello
geoId/19181,Warren
geoId/19183,Washington
geoId/19185,Wayne
geoId/19189,Winnebago
geoId/19191,Winneshiek
geoId/19197,Wright
geoId/20001,Allen
geoId/20003,Anderson
geoId/20007,Barber
geoId/20009,Barton
geoId/20011,Bourbon
geoId/20017,Chase
geoId/20019,Chautauqua
geoId/20021,Cherokee
geoId/20023,Cheyenne
geoId/20025,Clark
geoId/20029,Cloud
geoId/20031,Coffey
geoId/20033,Comanche
geoId/20035,Cowley
geoId/20037,Crawford
geoId/20039,Decatur
geoId/20041,Dickinson
geoId/20043,Doniphan
geoId/20047,Edwards
geoId/20049,Elk
geoId/20051,Ellis
geoId/20053,Ellsworth
geoId/20055,Finney
geoId/20057,Ford
geoId/20059,Franklin
geoId/20061,Geary
geoId/20063,Gove
geoId/20065,Graham
geoId/20067,Grant
geoId/20071,Greeley
geoId/20073,Greenwood
geoId/20075,Hamilton
geoId/20077,Harper
geoId/20081,Haskell
geoId/20083,Hodgeman
geoId/20085,Jackson
geoId/20089,Jewell
geoId/20091,Johnson
geoId/20093,Kearny
geoId/20095,Kingman
geoId/20097,Kiowa
geoId/20099,Labette
geoId/20101,Lane
geoId/20105,Lincoln
geoId/20107,Linn
geoId/20109,Logan
geoId/20111,Lyon
geoId/20115,Marion
